main_temps,main_temp_min,main_temp_max,main_humidity,weather_main,weather_description,clouds,wind,visibility,precipitation,rain,snow,datetime,city,lon,lat,canton
-7.16,-7.16,-3.11,49,Clear,clear sky,0,3.72,10000,0,,,19.12.2023 00:00,Arosa,9.6771,46.7785,GR
-5.09,-5.09,-5.09,51,Clouds,few clouds,11,3.34,10000,0,,,20.12.2023 00:00,Arosa,9.6771,46.7785,GR
-3.86,-3.86,-3.86,98,Snow,light snow,100,2.06,460,0.43,,0.32,21.12.2023 00:00,Arosa,9.6771,46.7785,GR
-1.82,-1.82,-1.82,98,Snow,snow,99,1.61,112,0.67,,4.35,22.12.2023 00:00,Arosa,9.6771,46.7785,GR
-3.77,-3.77,-3.77,98,Snow,light snow,100,1.42,168,0.65,,0.37,23.12.2023 00:00,Arosa,9.6771,46.7785,GR
0.63,0.63,2.08,67,Clear,clear sky,0,1.04,10000,0,,,19.12.2023 00:00,Le Locle,6.7497,47.0582,NE
1.09,1.09,1.09,80,Clouds,overcast clouds,96,3.73,10000,0,,,20.12.2023 00:00,Le Locle,6.7497,47.0582,NE
-0.01,-0.01,-0.01,92,Clouds,overcast clouds,98,2.39,10000,0.01,,,21.12.2023 00:00,Le Locle,6.7497,47.0582,NE
4.7,4.7,4.7,96,Rain,light rain,100,7.17,3718,1,2.32,,22.12.2023 00:00,Le Locle,6.7497,47.0582,NE
3.58,3.58,3.58,97,Rain,light rain,100,3.94,2635,0.64,0.73,,23.12.2023 00:00,Le Locle,6.7497,47.0582,NE
4.67,4.67,6.41,60,Clear,clear sky,0,1.99,10000,0,,,19.12.2023 00:00,Spiez,7.6855,46.689,BE
4.91,4.91,4.91,65,Clouds,scattered clouds,50,1.73,10000,0,,,20.12.2023 00:00,Spiez,7.6855,46.689,BE
2.66,2.66,2.66,98,Snow,light snow,100,1.03,1707,0.23,,0.16,21.12.2023 00:00,Spiez,7.6855,46.689,BE
6.62,6.62,6.62,97,Rain,light rain,100,2.66,5620,0.95,0.85,,22.12.2023 00:00,Spiez,7.6855,46.689,BE
4.01,4.01,4.01,90,Clouds,overcast clouds,97,1.38,10000,0.14,,,23.12.2023 00:00,Spiez,7.6855,46.689,BE
2.77,2.75,2.77,64,Clear,clear sky,1,2.31,10000,0,,,19.12.2023 00:00,Bulle,7.0583,46.6196,FR
1.94,1.94,1.94,80,Clouds,broken clouds,67,2.27,10000,0,,,20.12.2023 00:00,Bulle,7.0583,46.6196,FR
0.51,0.51,0.51,95,Clouds,overcast clouds,97,1.51,10000,0.06,,,21.12.2023 00:00,Bulle,7.0583,46.6196,FR
5.49,5.49,5.49,96,Rain,light rain,100,5.61,7033,0.93,1.32,,22.12.2023 00:00,Bulle,7.0583,46.6196,FR
3.03,3.03,3.03,93,Snow,light snow,96,2.69,10000,0.24,,0.1,23.12.2023 00:00,Bulle,7.0583,46.6196,FR
2.07,2.07,3.06,87,Clouds,broken clouds,67,1.38,10000,0,,,19.12.2023 00:00,Grenchen,7.3962,47.1939,SO
3.07,3.07,3.07,76,Clouds,broken clouds,83,2.31,10000,0,,,20.12.2023 00:00,Grenchen,7.3962,47.1939,SO
2.28,2.28,2.28,91,Clouds,overcast clouds,99,2.04,10000,0.03,,,21.12.2023 00:00,Grenchen,7.3962,47.1939,SO
7.62,7.62,7.62,92,Rain,light rain,100,7.02,10000,1,2.42,,22.12.2023 00:00,Grenchen,7.3962,47.1939,SO
6.48,6.48,6.48,92,Rain,light rain,100,4.26,10000,0.59,0.7,,23.12.2023 00:00,Grenchen,7.3962,47.1939,SO
1.53,1.53,4.58,87,Clouds,broken clouds,67,2.22,10000,0,,,19.12.2023 00:00,Meggen,8.3713,47.0469,LU
3.71,3.71,3.71,73,Clouds,broken clouds,57,1.92,10000,0,,,20.12.2023 00:00,Meggen,8.3713,47.0469,LU
2.53,2.53,2.53,96,Snow,light snow,99,0.58,5757,0.25,,0.12,21.12.2023 00:00,Meggen,8.3713,47.0469,LU
7.5,7.5,7.5,90,Rain,light rain,100,4.66,10000,0.96,1.01,,22.12.2023 00:00,Meggen,8.3713,47.0469,LU
5,5,5,86,Clouds,overcast clouds,98,2.93,10000,0.52,,,23.12.2023 00:00,Meggen,8.3713,47.0469,LU
5.95,5.95,6.82,83,Clear,clear sky,1,2.1,10000,0,,,19.12.2023 00:00,Vevey,6.8419,46.4628,VD
